latitude,longitude,acq_date,acq_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
27.66247,54.14751,2026-08-09,553,2026,8,9,Terra,MODIS,MODIS,38,18.23,322.99,D,2.26,1.46
27.6628,54.1409,2026-08-09,553,2026,8,9,Terra,MODIS,MODIS,62,19.5,322.91,D,2.26,1.46
27.67537,54.14389,2026-08-09,553,2026,8,9,Terra,MODIS,MODIS,49,16.71,322.11,D,2.26,1.46
27.75461,54.01192,2026-08-09,553,2026,8,9,Terra,MODIS,MODIS,65,28.03,324.35,D,2.2,1.44
29.19094,52.8459,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,2.02,304.16,N,0.56,0.51
29.19213,52.84058,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,2.02,313.71,N,0.55,0.51
29.25832,53.12516,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,3.84,325.19,N,0.58,0.52
29.25961,53.11945,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,3.84,313.95,N,0.57,0.52
29.34572,52.62597,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,0.73,304.59,N,0.54,0.5
29.36855,52.60953,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,3.43,312.4,N,0.53,0.5
29.62501,52.44691,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,1.46,311.96,N,0.52,0.5
29.86126,52.56936,2026-08-09,2252,2026,8,9,N20,VIIRS,VIIRS,n,0.64,299.93,N,0.52,0.5
29.19152,52.84473,2026-08-09,2231,2026,8,9,N,VIIRS,VIIRS,n,2.4,309.76,N,0.41,0.37
29.19224,52.84063,2026-08-09,2231,2026,8,9,N,VIIRS,VIIRS,n,4.91,334.5,N,0.41,0.37
29.25555,53.1231,2026-08-09,2231,2026,8,9,N,VIIRS,VIIRS,n,3.83,329.98,N,0.41,0.37
29.36856,52.61351,2026-08-09,2231,2026,8,9,N,VIIRS,VIIRS,n,4,329.03,N,0.4,0.37
29.51638,52.62877,2026-08-09,2231,2026,8,9,N,VIIRS,VIIRS,n,2.22,313.94,N,0.4,0.37
29.62489,52.44827,2026-08-09,2231,2026,8,9,N,VIIRS,VIIRS,n,2,316.44,N,0.4,0.37
29.78222,53.00587,2026-08-09,2231,2026,8,9,N,VIIRS,VIIRS,n,0.38,301.04,N,0.41,0.37
28.40971,53.23059,2026-08-09,2155,2026,8,9,N21,VIIRS,VIIRS,n,5.99,309.84,N,0.47,0.4
29.25456,53.11985,2026-08-09,2155,2026,8,9,N21,VIIRS,VIIRS,n,1.88,314.92,N,0.49,0.4
29.25824,53.12045,2026-08-09,2155,2026,8,9,N21,VIIRS,VIIRS,n,3.29,327.34,N,0.49,0.4
29.36588,52.61366,2026-08-09,2155,2026,8,9,N21,VIIRS,VIIRS,n,4.67,316.81,N,0.52,0.41
29.78048,53.0025,2026-08-09,2155,2026,8,9,N21,VIIRS,VIIRS,n,1.02,304.75,N,0.5,0.41
29.78176,53.00421,2026-08-09,2155,2026,8,9,N21,VIIRS,VIIRS,n,0.88,304.44,N,0.5,0.41
27.32604,53.231,2026-08-09,1026,2026,8,9,N20,VIIRS,VIIRS,n,2.79,338.79,D,0.48,0.65
27.32766,53.23008,2026-08-09,1009,2026,8,9,N,VIIRS,VIIRS,n,8.89,345.91,D,0.39,0.44
