latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
28.47652,53.0375,2026-08-24,1132,2026-08-24,15:02,2026,8,24,Aqua,MODIS,MODIS,50,10.47,331.45,D,1.34,1.15
28.57644,53.4919,2026-08-24,1132,2026-08-24,15:02,2026,8,24,Aqua,MODIS,MODIS,84,32.31,342.25,D,1.26,1.12
28.57857,53.50423,2026-08-24,1132,2026-08-24,15:02,2026,8,24,Aqua,MODIS,MODIS,69,14.7,334.8,D,1.26,1.12
30.17048,51.46976,2026-08-24,1132,2026-08-24,15:02,2026,8,24,Aqua,MODIS,MODIS,80,27.79,335.03,D,1.56,1.23
30.1734,51.48542,2026-08-24,1132,2026-08-24,15:02,2026,8,24,Aqua,MODIS,MODIS,74,18.69,331.7,D,1.55,1.23
30.2544,51.98272,2026-08-24,1132,2026-08-24,15:02,2026,8,24,Aqua,MODIS,MODIS,39,11.54,324.35,D,1.44,1.19
30.17505,51.47647,2026-08-24,1045,2026-08-24,14:15,2026,8,24,N20,VIIRS,VIIRS,n,19.24,341.04,D,0.78,0.78
30.17537,51.48522,2026-08-24,1045,2026-08-24,14:15,2026,8,24,N20,VIIRS,VIIRS,n,19.24,355.37,D,0.78,0.78
30.17592,51.50041,2026-08-24,1045,2026-08-24,14:15,2026,8,24,N20,VIIRS,VIIRS,n,25.19,348.28,D,0.78,0.78
28.68062,52.09562,2026-08-24,1026,2026-08-24,13:56,2026,8,24,N,VIIRS,VIIRS,l,7.48,346.69,D,0.33,0.55
30.17085,51.48857,2026-08-24,1026,2026-08-24,13:56,2026,8,24,N,VIIRS,VIIRS,n,10.7,344.18,D,0.63,0.54
30.17471,51.47411,2026-08-24,1026,2026-08-24,13:56,2026,8,24,N,VIIRS,VIIRS,n,20.99,345.85,D,0.63,0.54
30.17525,51.4805,2026-08-24,1026,2026-08-24,13:56,2026,8,24,N,VIIRS,VIIRS,h,20.99,367,D,0.63,0.54
30.17588,51.4879,2026-08-24,1026,2026-08-24,13:56,2026,8,24,N,VIIRS,VIIRS,n,10.7,342.3,D,0.63,0.54
30.16749,51.47601,2026-08-24,949,2026-08-24,13:19,2026,8,24,N21,VIIRS,VIIRS,l,11.83,347.49,D,0.44,0.38
30.16806,51.48052,2026-08-24,949,2026-08-24,13:19,2026,8,24,N21,VIIRS,VIIRS,l,11.83,354.1,D,0.44,0.38
30.17153,51.4798,2026-08-24,949,2026-08-24,13:19,2026,8,24,N21,VIIRS,VIIRS,l,18.83,350.65,D,0.44,0.38
30.16656,51.47999,2026-08-24,907,2026-08-24,12:37,2026,8,24,N20,VIIRS,VIIRS,n,4.1,350.07,D,0.32,0.55
30.16724,51.48292,2026-08-24,907,2026-08-24,12:37,2026,8,24,N20,VIIRS,VIIRS,n,4.1,344.4,D,0.32,0.55
30.17156,51.47898,2026-08-24,907,2026-08-24,12:37,2026,8,24,N20,VIIRS,VIIRS,l,5.05,342.14,D,0.32,0.55
30.17483,51.47052,2026-08-24,907,2026-08-24,12:37,2026,8,24,N20,VIIRS,VIIRS,h,9.19,367,D,0.32,0.55
28.6799,52.0943,2026-08-24,845,2026-08-24,12:15,2026,8,24,N,VIIRS,VIIRS,l,7.74,337.88,D,0.74,0.76
29.25667,53.11911,2026-08-24,845,2026-08-24,12:15,2026,8,24,N,VIIRS,VIIRS,l,12.15,346.39,D,0.63,0.72
30.24517,51.52876,2026-08-24,546,2026-08-24,09:16,2026,8,24,Terra,MODIS,MODIS,27,7.59,319.83,D,1.24,1.11
31.06335,52.77186,2026-08-24,546,2026-08-24,09:16,2026,8,24,Terra,MODIS,MODIS,37,6.67,317.29,D,1.42,1.18
